,athlete_age_mean
0,21.833333333333332
1,18.3
2,25.870967741935484
3,0.0
4,23.333333333333332
5,25.0
6,30.0
7,22.9
8,22.0
9,21.6
10,19.0
11,28.635714285714286
12,27.448275862068964
13,34.0
14,27.25
15,25.25925925925926
16,24.40740740740741
17,28.470588235294116
18,32.333333333333336
19,35.46666666666667
20,27.666666666666668
21,28.5
22,24.0
23,21.8
24,18.8
25,27.0
26,21.5
27,16.0
28,27.25
29,26.0
30,19.0
31,26.698275862068964
32,21.77777777777778
33,24.0
34,26.90625
35,24.0
36,0.0
37,29.0
38,24.0
39,22.0
40,22.5
41,30.094594594594593
42,23.63157894736842
43,23.944444444444443
44,23.05
45,25.551020408163264
46,28.158730158730158
47,30.88235294117647
48,27.32
49,28.829787234042552
50,0.0
51,23.03448275862069
52,25.0
53,23.8
54,25.25
55,20.0
56,24.5
57,18.0
58,23.272727272727273
59,30.75
60,25.797619047619047
61,26.28846153846154
62,29.25
63,0.0
64,24.875
65,28.166666666666668
66,27.71641791044776
67,29.4
68,27.67630057803468
69,26.776315789473685
70,28.19
71,28.142857142857142
72,26.357142857142858
73,26.933333333333334
74,24.9
75,23.0
76,23.61904761904762
77,27.181818181818183
78,27.38860103626943
79,28.95
80,30.0
81,33.06923076923077
82,28.36904761904762
83,32.709219858156025
84,31.176470588235293
85,28.520833333333332
86,31.989795918367346
87,28.698630136986303
88,26.2
89,25.25
90,22.6
91,27.8
92,31.26530612244898
93,28.0
94,24.666666666666668
95,26.0
96,35.666666666666664
97,0.0
98,25.0
99,25.387755102040817
100,24.404040404040405
101,28.0
102,30.1875
103,30.5
104,27.253968253968253
105,0.0
106,26.4
107,25.0
108,28.181818181818183
109,29.76923076923077
110,28.9875
111,28.48076923076923
112,33.75
113,31.416666666666668
114,27.0
115,29.677419354838708
116,26.333333333333332
117,25.0
118,29.0
119,37.15384615384615
120,0.0
121,28.0
122,23.333333333333332
123,23.0
124,23.3
125,28.333333333333332
126,22.67142857142857
127,28.363636363636363
128,27.06153846153846
129,26.625
130,27.16
131,23.510204081632654
132,25.985915492957748
133,24.153846153846153
134,23.9375
135,26.545454545454547
136,28.64
137,27.923076923076923
138,29.77777777777778
139,27.86111111111111
140,24.25
141,28.0
142,20.75
143,21.178571428571427
144,32.44444444444444
145,27.95
146,21.5
147,22.242424242424242
148,23.0
149,28.055555555555557
150,19.833333333333332
151,21.5
152,22.0
153,25.0
154,32.0
155,22.0
156,27.0
157,28.0
158,24.861878453038674
159,24.625
160,20.964285714285715
161,26.441558441558442
162,26.142857142857142
163,25.05263157894737
164,29.29032258064516
165,26.473684210526315
166,23.91176470588235
167,25.5
168,26.5625
169,29.56756756756757
170,23.8
171,26.344827586206897
172,27.0
173,28.5
174,23.88888888888889
175,45.0
176,25.0
177,19.5
178,22.0
179,0.0
180,25.5
181,24.666666666666668
182,20.25
183,27.0
184,19.5
185,26.123809523809523
186,24.66
187,25.53191489361702
188,25.235294117647058
189,25.555555555555557
190,22.783783783783782
191,25.760563380281692
192,25.047619047619047
193,26.857142857142858
194,26.576923076923077
195,37.0
196,30.529411764705884
197,27.63888888888889
198,26.441860465116278
199,29.88888888888889
200,21.6
201,22.33695652173913
202,28.285714285714285
203,23.0
204,24.59090909090909
205,26.545454545454547
206,22.0
207,26.6875
208,27.0
209,26.0
210,20.761904761904763
211,24.0
212,26.0
213,25.166666666666668
214,34.0
215,34.333333333333336
216,21.0
217,25.75
218,29.0
219,25.986486486486488
220,28.516666666666666
221,30.275862068965516
222,25.0625
223,28.071428571428573
224,25.80952380952381
225,28.333333333333332
226,27.323529411764707
227,30.0
228,25.510204081632654
229,28.857142857142858
230,26.25
231,31.397260273972602
232,25.0
233,29.0
234,27.333333333333332
235,0.0
236,25.5
237,30.333333333333332
238,34.416666666666664
239,35.8
240,30.0
241,25.75
242,23.875
243,21.5
244,24.0
245,26.0
246,27.333333333333332
247,30.0
248,30.22222222222222
249,42.0
250,26.416666666666668
251,19.5
252,19.0
253,24.0
254,26.633663366336634
255,30.542857142857144
256,27.641025641025642
257,28.78787878787879
258,24.28
259,25.666666666666668
260,26.666666666666668
261,26.612903225806452
262,23.416666666666668
263,28.264150943396228
264,26.71794871794872
265,30.275
266,29.025
267,25.375
268,24.25
269,44.0
270,33.38461538461539
271,23.723076923076924
272,27.75
273,26.0
274,23.857142857142858
275,26.166666666666668
276,0.0
277,25.4
278,28.5
279,26.0
280,36.0
281,23.0
282,24.0
283,24.0
284,20.285714285714285
285,25.642857142857142
286,28.875
287,25.0
288,23.0
289,21.642857142857142
290,21.666666666666668
291,23.0
292,20.0
293,24.333333333333332
294,34.75
295,19.0
296,25.568047337278106
297,27.84375
298,23.526315789473685
299,23.944444444444443
300,25.208333333333332
301,26.076923076923077
302,0.0
303,28.125
304,24.857142857142858
305,34.088235294117645
306,26.444444444444443
307,29.108695652173914
308,26.46875
309,25.857142857142858
310,24.82608695652174
311,21.72222222222222
312,28.75
313,23.279661016949152
314,23.5
315,28.5
316,32.285714285714285
317,26.533333333333335
318,27.333333333333332
319,22.433333333333334
320,23.0
321,36.0
322,24.666666666666668
323,27.25
324,26.666666666666668
325,23.5
326,27.0
327,21.2
328,19.285714285714285
329,27.0
330,41.666666666666664
331,22.0
332,24.6
333,29.0
334,26.238636363636363
335,25.85207100591716
336,24.17241379310345
337,24.857142857142858
338,26.333333333333332
339,25.52173913043478
340,25.136363636363637
341,24.866666666666667
342,27.714285714285715
343,24.428571428571427
344,27.307692307692307
345,26.29230769230769
346,0.0
347,22.892857142857142
348,23.732142857142858
349,23.058823529411764
350,25.5
351,52.0
