,man_ratio_total
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,0.9945945945945946
12,0.9743589743589743
13,0.9117647058823529
14,1.0
15,1.0
16,0.9272727272727272
17,1.0
18,1.0
19,1.0
20,1.0
21,0.5
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,0.9695431472081218
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,0.968299711815562
42,1.0
43,1.0
44,0.8636363636363636
45,0.9897959183673469
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,0.9880952380952381
61,0.8846153846153846
62,0.9375
63,1.0
64,1.0
65,1.0
66,1.0
67,0.92
68,0.976878612716763
69,0.9868421052631579
70,1.0
71,1.0
72,0.7142857142857143
73,1.0
74,0.8
75,1.0
76,1.0
77,1.0
78,0.927461139896373
79,0.8691588785046729
80,1.0
81,0.9716312056737588
82,1.0
83,0.9929078014184397
84,1.0
85,1.0
86,1.0
87,0.952054794520548
88,0.9866666666666667
89,1.0
90,1.0
91,0.9
92,0.9795918367346939
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,0.8737373737373737
101,0.9918032786885246
102,1.0
103,1.0
104,0.7727272727272727
105,1.0
106,1.0
107,1.0
108,1.0
109,0.9615384615384616
110,0.9125
111,1.0
112,1.0
113,0.8333333333333334
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,0.8285714285714286
127,1.0
128,0.7538461538461538
129,1.0
130,0.9655172413793104
131,0.6363636363636364
132,0.875
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,0.9166666666666666
139,0.9722222222222222
140,1.0
141,1.0
142,1.0
143,0.7619047619047619
144,1.0
145,1.0
146,1.0
147,0.7878787878787878
148,1.0
149,0.9444444444444444
150,0.3333333333333333
151,0.875
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,0.850828729281768
159,1.0
160,0.967741935483871
161,1.0
162,0.8421052631578947
163,0.9473684210526315
164,1.0
165,0.8947368421052632
166,0.7058823529411765
167,1.0
168,0.96875
169,1.0
170,0.8
171,1.0
172,1.0
173,1.0
