,men_athlete_num
0,6
1,52
2,33
3,6
4,7
5,6
6,3
7,20
8,2
9,5
10,11
11,184
12,76
13,31
14,20
15,40
16,51
17,39
18,9
19,15
20,6
21,1
22,2
23,5
24,5
25,2
26,6
27,2
28,4
29,2
30,1
31,382
32,13
33,2
34,35
35,2
36,8
37,2
38,1
39,4
40,9
41,336
42,19
43,18
44,19
45,97
46,63
47,35
48,31
49,51
50,3
51,29
52,7
53,15
54,44
55,3
56,2
57,1
58,11
59,5
60,83
61,46
62,150
63,14
64,8
65,19
66,67
67,23
68,169
69,75
70,101
71,7
72,10
73,30
74,8
75,2
76,21
77,22
78,179
79,93
80,1
81,137
82,84
83,140
84,29
85,48
86,188
87,139
88,74
89,24
90,16
91,9
92,48
93,21
94,3
95,1
96,7
97,5
98,6
99,65
100,173
101,121
102,51
103,20
104,51
105,23
106,10
107,2
108,11
109,25
110,73
111,52
112,20
113,10
114,4
115,38
116,6
117,22
118,1
119,26
120,7
121,5
122,3
123,1
124,10
125,3
126,58
127,12
128,49
129,16
130,28
131,35
132,63
133,15
134,32
135,22
136,25
137,13
138,33
139,35
140,4
141,9
142,4
143,64
144,9
145,20
146,4
147,26
148,5
149,17
150,2
151,7
152,1
153,1
154,3
155,1
156,1
157,1
158,154
159,11
160,30
161,77
162,32
163,36
164,31
165,17
166,24
167,2
168,31
169,37
170,4
171,29
172,1
173,4
174,8
175,1
176,7
177,2
178,3
179,1
180,2
181,3
182,3
183,1
184,4
185,187
186,49
187,47
188,9
189,19
190,29
191,70
192,32
193,28
194,26
195,1
196,34
197,31
198,43
199,6
200,5
201,76
202,7
203,2
204,17
205,10
206,4
207,16
208,2
209,1
210,20
211,1
212,1
213,12
214,2
215,3
216,1
217,12
218,32
219,126
220,49
221,28
222,20
223,51
224,28
225,61
226,64
227,0
228,38
229,14
230,16
231,72
232,1
233,1
234,5
235,1
236,2
237,18
238,11
239,5
240,2
241,12
242,8
243,3
244,2
245,2
246,3
247,1
248,9
249,3
250,12
251,4
252,1
253,1
254,68
255,62
256,80
257,33
258,16
259,11
260,15
261,24
262,12
263,52
264,38
265,39
266,33
267,24
268,4
269,1
270,12
271,115
272,4
273,4
274,7
275,6
276,2
277,16
278,2
279,7
280,2
281,2
282,1
283,3
284,7
285,14
286,8
287,1
288,1
289,11
290,3
291,1
292,1
293,2
294,4
295,1
296,140
297,46
298,12
299,11
300,24
301,26
302,40
303,17
304,14
305,27
306,18
307,46
308,31
309,5
310,23
311,18
312,5
313,98
314,2
315,2
316,4
317,36
318,3
319,42
320,2
321,2
322,7
323,4
324,3
325,3
326,1
327,5
328,3
329,2
330,3
331,1
332,12
333,1
334,82
335,130
336,28
337,7
338,6
339,23
340,14
341,6
342,14
343,14
344,13
345,58
346,63
347,20
348,91
349,17
350,23
351,1
352,4
353,1
354,1
355,11
356,3
357,4
358,2
359,4
360,2
361,3
362,2
363,9
364,6
365,11
366,9
367,25
368,3
369,3
370,5
371,1
372,1
373,1
374,13
375,1
376,1
377,1
378,32
379,102
380,15
381,126
382,46
383,46
384,47
385,5
