,women_athlete_num
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,2
13,3
14,0
15,0
16,4
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,12
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,11
42,0
43,0
44,3
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,6
62,10
63,0
64,0
65,0
66,0
67,2
68,4
69,1
70,0
71,0
72,4
73,0
74,2
75,0
76,0
77,0
78,14
79,14
80,0
81,4
82,0
83,1
84,0
85,0
86,0
87,7
88,1
89,0
90,0
91,1
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,25
101,1
102,0
103,0
104,15
105,0
106,0
107,0
108,0
109,1
110,7
111,0
112,0
113,2
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,12
127,0
128,16
129,0
130,1
131,20
132,9
133,0
134,0
135,0
136,0
137,0
138,3
139,1
140,0
141,0
142,0
143,20
144,0
145,0
146,0
147,7
148,0
149,1
150,4
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,27
159,0
160,1
161,0
162,6
163,2
164,0
165,2
166,10
167,0
168,1
169,0
170,1
171,0
172,0
173,0
174,1
175,0
176,5
177,0
178,2
179,0
180,0
181,0
182,2
183,0
184,0
185,23
186,1
187,0
188,8
189,0
190,8
191,1
192,10
193,0
194,0
195,0
196,0
197,5
198,0
199,3
200,0
201,16
202,0
203,0
204,5
205,1
206,2
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,8
218,0
219,22
220,11
221,1
222,0
223,5
224,14
225,2
226,4
227,4
228,11
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,8
243,0
244,4
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,33
255,8
256,37
257,0
258,9
259,7
260,0
261,7
262,0
263,1
264,1
265,1
266,7
267,0
268,0
269,0
270,1
271,15
272,0
273,0
274,0
275,0
276,0
277,4
278,0
279,2
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,2
289,3
290,0
291,0
292,0
293,1
294,0
295,0
296,29
297,18
298,7
299,8
300,0
301,0
302,17
303,0
304,0
305,7
306,0
307,0
308,1
309,2
310,0
311,1
312,0
313,20
314,0
315,0
316,3
317,9
318,0
319,19
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,0
328,4
329,0
330,0
331,0
332,0
333,0
334,6
335,39
336,1
337,0
338,0
339,0
340,8
341,9
342,0
343,0
344,0
345,7
346,25
347,8
348,21
349,0
350,7
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,11
368,0
369,0
370,0
371,0
372,2
373,0
374,0
375,0
376,0
377,0
378,10
379,13
380,0
381,48
382,9
383,18
384,9
385,0
386,0
387,34
388,0
389,9
390,1
391,0
392,1
393,20
394,3
395,0
396,0
397,0
398,0
399,6
400,0
401,8
402,0
403,1
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,13
417,49
418,16
419,12
420,0
421,2
422,0
423,2
424,10
425,0
426,11
427,2
428,0
429,42
430,0
431,10
432,0
433,14
434,2
435,0
436,0
437,0
438,0
439,0
440,0
441,10
442,1
443,0
444,0
445,3
446,0
447,2
448,0
449,0
450,0
451,0
452,0
453,4
454,6
455,1
456,0
457,0
458,0
459,0
460,0
461,2
462,0
463,47
464,45
465,8
466,0
467,0
468,26
469,0
470,13
471,4
472,0
473,1
474,2
475,15
476,11
477,0
478,5
479,0
480,4
481,0
482,0
483,0
484,5
485,32
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,10
494,2
495,0
496,5
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,24
507,12
508,2
509,0
510,50
511,0
512,104
513,98
514,12
515,0
516,1
517,25
518,11
519,1
520,0
521,5
522,3
523,0
524,17
525,0
526,0
527,0
528,0
529,2
530,1
531,0
