Year,City,Sport,Athlete,Country,Gender,Event,Medal,Age,Height,Weight
1896,Athens,Aquatics,"HAJOS, Alfred",HUN,Men,100M Freestyle,Gold,18,,
1896,Athens,Aquatics,"HERSCHMANN, Otto",AUT,Men,100M Freestyle,Silver,19,,
1896,Athens,Aquatics,"DRIVAS, Dimitrios",GRE,Men,100M Freestyle For Sailors,Bronze,,,
1896,Athens,Aquatics,"MALOKINIS, Ioannis",GRE,Men,100M Freestyle For Sailors,Gold,,,
1896,Athens,Aquatics,"CHASAPIS, Spiridon",GRE,Men,100M Freestyle For Sailors,Silver,,,
1896,Athens,Aquatics,"CHOROPHAS, Efstathios",GRE,Men,1200M Freestyle,Bronze,,,
1896,Athens,Aquatics,"HAJOS, Alfred",HUN,Men,1200M Freestyle,Gold,18,,
1896,Athens,Aquatics,"ANDREOU, Joannis",GRE,Men,1200M Freestyle,Silver,,,
1896,Athens,Aquatics,"CHOROPHAS, Efstathios",GRE,Men,400M Freestyle,Bronze,,,
1896,Athens,Aquatics,"NEUMANN, Paul",AUT,Men,400M Freestyle,Gold,20,,
1896,Athens,Aquatics,"PEPANOS, Antonios",GRE,Men,400M Freestyle,Silver,,,
1896,Athens,Athletics,"LANE, Francis",USA,Men,100M,Bronze,21,170,69
1896,Athens,Athletics,"SZOKOLYI, Alajos",HUN,Men,100M,Bronze,24,,
1896,Athens,Athletics,"BURKE, Thomas",USA,Men,100M,Gold,21,183,66
1896,Athens,Athletics,"HOFMANN, Fritz",GER,Men,100M,Silver,24,167,56
1896,Athens,Athletics,"CURTIS, Thomas",USA,Men,110M Hurdles,Gold,23,176,66
1896,Athens,Athletics,"GOULDING, Grantley",GBR,Men,110M Hurdles,Silver,22,,
1896,Athens,Athletics,"LERMUSIAUX, Albin",FRA,Men,1500M,Bronze,21,,
1896,Athens,Athletics,"FLACK, Edwin",AUS,Men,1500M,Gold,22,,
1896,Athens,Athletics,"BLAKE, Arthur",USA,Men,1500M,Silver,24,,
1896,Athens,Athletics,"GMELIN, Charles",GBR,Men,400M,Bronze,23,,
1896,Athens,Athletics,"BURKE, Thomas",USA,Men,400M,Gold,21,183,66
1896,Athens,Athletics,"JAMISON, Herbert",USA,Men,400M,Silver,20,173,69
1896,Athens,Athletics,"GOLEMIS, Dimitrios",GRE,Men,800M,Bronze,21,,
1896,Athens,Athletics,"FLACK, Edwin",AUS,Men,800M,Gold,22,,
1896,Athens,Athletics,"DANI, Nandor",HUN,Men,800M,Silver,24,,
1896,Athens,Athletics,"VERSIS, Sotirios",GRE,Men,Discus Throw,Bronze,,,
1896,Athens,Athletics,"GARRETT, Robert",USA,Men,Discus Throw,Gold,20,188,81
1896,Athens,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Men,Discus Throw,Silver,,,
1896,Athens,Athletics,"CLARK, Ellery",USA,Men,High Jump,Gold,22,180,
1896,Athens,Athletics,"CONNOLLY, James",USA,Men,High Jump,Silver,27,175,72
1896,Athens,Athletics,"GARRETT, Robert",USA,Men,High Jump,Silver,20,188,81
1896,Athens,Athletics,"CONNOLLY, James",USA,Men,Long Jump,Bronze,27,175,72
1896,Athens,Athletics,"CLARK, Ellery",USA,Men,Long Jump,Gold,22,180,
1896,Athens,Athletics,"GARRETT, Robert",USA,Men,Long Jump,Silver,20,188,81
1896,Athens,Athletics,"KELLNER, Gyula",HUN,Men,Marathon,Bronze,24,,
1896,Athens,Athletics,"LOUIS, Spyridon",GRE,Men,Marathon,Gold,23,,
1896,Athens,Athletics,"VASILAKOS, Kharilaos",GRE,Men,Marathon,Silver,,,
1896,Athens,Athletics,"DAMASKOS, Evangelos",GRE,Men,Pole Vault,Bronze,,,
1896,Athens,Athletics,"THEODOROPOULOS, Ioannis",GRE,Men,Pole Vault,Bronze,,,
1896,Athens,Athletics,"HOYT, William Welles",USA,Men,Pole Vault,Gold,20,,
1896,Athens,Athletics,"TYLER, Albert",USA,Men,Pole Vault,Silver,24,,
1896,Athens,Athletics,"PAPASIDERIS, Georgios",GRE,Men,Shot Put,Bronze,,,
1896,Athens,Athletics,"GARRETT, Robert",USA,Men,Shot Put,Gold,20,188,81
1896,Athens,Athletics,"GOUSKOS, Miltiadis",GRE,Men,Shot Put,Silver,,,
1896,Athens,Athletics,"PERSAKIS, Ioannis",GRE,Men,Triple Jump,Bronze,,,
1896,Athens,Athletics,"CONNOLLY, James",USA,Men,Triple Jump,Gold,27,175,72
1896,Athens,Athletics,"TUFFERI, Alexandre",FRA,Men,Triple Jump,Silver,19,,
1896,Athens,Cycling,"BATTEL, Edward",GBR,Men,Individual Road Race,Bronze,,,
1896,Athens,Cycling,"KONSTANTINIDIS, Aristidis",GRE,Men,Individual Road Race,Gold,,,
1896,Athens,Cycling,"GOEDRICH, August",GER,Men,Individual Road Race,Silver,36,,
1896,Athens,Cycling,"FLAMENG, L¨¦on",FRA,Men,100KM,Gold,18,,
1896,Athens,Cycling,"KOLETTIS, Georgios",GRE,Men,100KM,Silver,,,
1896,Athens,Cycling,"SCHMAL, Adolf",AUT,Men,10KM,Bronze,23,,
