,athlete_age_max
0,24.0
1,23.0
2,36.0
3,0.0
4,28.0
5,29.0
6,30.0
7,27.0
8,22.0
9,23.0
10,21.0
11,71.0
12,50.0
13,34.0
14,47.0
15,44.0
16,41.0
17,50.0
18,40.0
19,49.0
20,32.0
21,35.0
22,24.0
23,23.0
24,21.0
25,27.0
26,28.0
27,16.0
28,33.0
29,26.0
30,19.0
31,68.0
32,26.0
33,24.0
34,45.0
35,24.0
36,0.0
37,34.0
38,24.0
39,23.0
40,30.0
41,60.0
42,29.0
43,38.0
44,31.0
45,60.0
46,56.0
47,54.0
48,43.0
49,51.0
50,0.0
51,38.0
52,30.0
53,28.0
54,38.0
55,22.0
56,30.0
57,18.0
58,27.0
59,38.0
60,44.0
61,48.0
62,61.0
63,0.0
64,29.0
65,36.0
66,56.0
67,47.0
68,64.0
69,48.0
70,60.0
71,37.0
72,35.0
73,38.0
74,30.0
75,23.0
76,35.0
77,44.0
78,48.0
79,44.0
80,30.0
81,61.0
82,43.0
83,53.0
84,51.0
85,51.0
86,54.0
87,72.0
88,52.0
89,41.0
90,35.0
91,36.0
92,55.0
93,42.0
94,29.0
95,26.0
96,51.0
97,0.0
98,28.0
99,37.0
100,50.0
101,49.0
102,49.0
103,48.0
104,56.0
105,0.0
106,31.0
107,25.0
108,39.0
109,44.0
110,56.0
111,46.0
112,48.0
113,51.0
114,32.0
115,47.0
116,31.0
117,32.0
118,29.0
119,51.0
120,0.0
121,32.0
122,28.0
123,23.0
124,32.0
125,38.0
126,40.0
127,35.0
128,50.0
129,32.0
130,39.0
131,36.0
132,46.0
133,30.0
134,30.0
135,31.0
136,38.0
137,48.0
138,56.0
139,41.0
140,29.0
141,40.0
142,22.0
143,33.0
144,56.0
145,43.0
146,24.0
147,27.0
148,25.0
149,39.0
150,27.0
151,24.0
152,22.0
153,25.0
154,33.0
155,22.0
156,27.0
157,28.0
158,49.0
159,29.0
160,30.0
161,40.0
162,54.0
163,37.0
164,44.0
165,37.0
166,38.0
167,27.0
168,39.0
169,46.0
170,26.0
171,41.0
172,27.0
173,33.0
174,30.0
175,45.0
176,36.0
177,20.0
178,26.0
179,0.0
180,26.0
181,29.0
182,22.0
183,27.0
184,20.0
185,52.0
186,38.0
187,39.0
188,30.0
189,35.0
190,49.0
191,47.0
192,35.0
193,39.0
194,34.0
195,37.0
196,46.0
197,40.0
198,48.0
199,42.0
200,27.0
201,35.0
202,33.0
203,25.0
204,31.0
205,46.0
206,37.0
207,35.0
208,28.0
209,26.0
210,26.0
211,24.0
212,26.0
213,35.0
214,34.0
215,39.0
216,21.0
217,36.0
218,47.0
219,56.0
220,44.0
221,40.0
222,34.0
223,48.0
224,40.0
225,45.0
226,53.0
227,36.0
228,36.0
229,42.0
230,30.0
231,51.0
232,25.0
233,29.0
234,31.0
235,0.0
236,29.0
237,45.0
238,56.0
239,46.0
240,44.0
241,33.0
242,37.0
243,23.0
244,29.0
245,26.0
246,28.0
247,30.0
248,35.0
249,50.0
250,31.0
251,21.0
252,19.0
253,24.0
254,48.0
255,50.0
256,46.0
257,44.0
258,40.0
259,34.0
260,33.0
261,48.0
262,32.0
263,43.0
264,57.0
265,55.0
266,48.0
267,32.0
268,28.0
269,44.0
270,46.0
271,59.0
272,38.0
273,35.0
274,33.0
275,34.0
276,0.0
277,38.0
278,33.0
279,36.0
280,44.0
281,26.0
282,24.0
283,25.0
284,22.0
285,30.0
286,32.0
287,25.0
288,25.0
289,29.0
290,24.0
291,23.0
292,20.0
293,26.0
294,36.0
295,19.0
296,37.0
297,46.0
298,34.0
299,43.0
300,37.0
301,38.0
302,0.0
303,36.0
304,31.0
305,54.0
306,33.0
307,46.0
308,35.0
309,30.0
310,36.0
311,32.0
312,38.0
313,48.0
314,24.0
315,35.0
316,41.0
317,52.0
318,29.0
319,41.0
320,25.0
321,39.0
322,27.0
323,30.0
324,30.0
325,26.0
326,27.0
327,26.0
328,25.0
329,27.0
330,48.0
331,22.0
332,31.0
333,29.0
334,46.0
335,41.0
336,40.0
337,29.0
338,32.0
339,48.0
340,37.0
341,35.0
342,38.0
343,29.0
344,33.0
345,50.0
346,0.0
347,31.0
348,52.0
349,30.0
350,33.0
351,52.0
352,31.0
353,0.0
354,0.0
355,55.0
356,28.0
357,46.0
358,21.0
359,30.0
360,30.0
361,34.0
362,0.0
363,31.0
364,40.0
365,37.0
366,25.0
367,45.0
368,28.0
369,27.0
370,0.0
371,27.0
372,22.0
373,19.0
374,35.0
375,28.0
376,31.0
377,22.0
378,59.0
379,0.0
380,36.0
381,40.0
382,33.0
383,33.0
384,36.0
385,35.0
386,37.0
387,46.0
388,24.0
389,32.0
390,48.0
391,24.0
392,42.0
393,34.0
394,44.0
395,30.0
396,27.0
397,31.0
398,34.0
399,33.0
400,60.0
401,34.0
402,49.0
403,34.0
404,46.0
405,0.0
406,27.0
407,26.0
408,26.0
409,0.0
410,34.0
411,29.0
412,32.0
413,20.0
414,19.0
415,26.0
416,37.0
417,41.0
418,38.0
419,35.0
420,36.0
421,36.0
422,27.0
423,29.0
424,36.0
425,27.0
426,34.0
427,48.0
428,52.0
429,43.0
430,34.0
431,36.0
432,38.0
433,39.0
434,31.0
435,32.0
436,29.0
437,26.0
438,27.0
439,34.0
440,23.0
441,56.0
442,66.0
443,42.0
444,24.0
445,54.0
446,29.0
447,29.0
448,31.0
449,30.0
450,28.0
451,36.0
452,22.0
453,30.0
454,39.0
455,24.0
456,25.0
457,27.0
458,22.0
459,23.0
460,30.0
461,36.0
462,29.0
463,38.0
464,45.0
465,40.0
466,27.0
467,30.0
468,60.0
469,25.0
470,31.0
471,39.0
472,37.0
473,31.0
474,44.0
475,36.0
476,30.0
