,athlete_num
0,6
1,52
2,33
3,6
4,7
5,6
6,3
7,20
8,2
9,5
10,11
11,185
12,78
13,34
14,20
15,40
16,55
17,39
18,9
19,15
20,6
21,2
22,2
23,5
24,5
25,2
26,6
27,2
28,4
29,2
30,1
31,394
32,13
33,2
34,35
35,2
36,8
37,2
38,1
39,4
40,9
41,347
42,19
43,18
44,22
45,98
46,63
47,35
48,31
49,51
50,3
51,29
52,7
53,15
54,44
55,3
56,2
57,1
58,11
59,5
60,84
61,52
62,160
63,14
64,8
65,19
66,67
67,25
68,173
69,76
70,101
71,7
72,14
73,30
74,10
75,2
76,21
77,22
78,193
79,107
80,1
81,141
82,84
83,141
84,29
85,48
86,188
87,146
88,75
89,24
90,16
91,10
92,49
93,21
94,3
95,1
96,7
97,5
98,6
99,65
100,198
101,122
102,51
103,20
104,66
105,23
106,10
107,2
108,11
109,26
110,80
111,52
112,20
113,12
114,4
115,38
116,6
117,22
118,1
119,26
120,7
121,5
122,3
123,1
124,10
125,3
126,70
127,12
128,65
129,16
130,29
131,55
132,72
133,15
134,32
135,22
136,25
137,13
138,36
139,36
140,4
141,9
142,4
143,84
144,9
145,20
146,4
147,33
148,5
149,18
150,6
151,8
152,1
153,1
154,3
155,1
156,1
157,1
158,181
159,11
160,31
161,77
162,38
163,38
164,31
165,19
166,34
167,2
168,32
169,37
170,5
171,29
172,1
173,4
174,9
175,1
176,12
177,2
178,5
179,1
180,2
181,3
182,5
183,1
184,4
185,210
186,50
187,47
188,17
189,19
190,37
191,71
192,42
193,28
194,26
195,1
196,34
197,36
198,43
199,9
200,5
201,92
202,7
203,2
204,22
205,11
206,6
207,16
208,2
209,1
210,21
211,1
212,1
213,12
214,2
215,3
216,1
217,20
218,32
219,148
220,60
221,29
222,20
223,56
224,42
225,63
226,68
227,4
228,49
229,14
230,16
231,73
232,1
233,1
234,5
235,1
236,2
237,18
238,12
239,5
240,2
241,12
242,16
243,3
244,6
245,2
246,3
247,1
248,9
249,3
250,12
251,4
252,1
253,1
254,101
255,70
256,117
257,33
258,25
259,18
260,15
261,31
262,12
263,53
264,39
265,40
266,40
267,24
268,4
269,1
270,13
271,130
272,4
273,4
274,7
275,6
276,2
277,20
278,2
279,9
280,2
281,2
282,1
283,3
284,7
285,14
286,8
287,1
288,3
289,14
290,3
291,1
292,1
293,3
294,4
295,1
296,169
297,64
298,19
299,19
300,24
301,26
302,57
303,17
304,14
305,34
306,18
307,46
308,32
309,7
310,23
311,19
312,5
313,118
314,2
315,2
316,7
317,45
318,3
319,61
320,2
321,2
322,7
323,4
324,3
325,4
326,1
327,5
328,7
329,2
330,3
331,1
332,12
333,1
334,88
335,169
336,29
337,7
338,6
339,23
340,22
341,15
342,14
343,14
344,13
345,65
346,88
347,28
348,112
349,17
350,30
351,1
352,4
353,1
354,1
355,11
356,3
357,4
358,2
359,4
360,2
361,3
362,2
363,9
364,7
365,11
366,9
367,36
368,3
369,3
370,5
371,1
372,3
373,1
374,13
375,1
376,1
377,1
378,42
379,115
380,15
381,174
382,55
383,64
384,56
385,5
386,16
