,historic_Aquatics_modal_num
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,2
25,0
26,2
27,0
28,0
29,0
30,0
31,0
32,6
33,0
34,0
35,7
36,0
37,10
38,6
39,5
40,0
41,10
42,0
43,9
44,16
45,0
46,28
47,27
48,7
49,0
50,0
51,0
52,0
53,1
54,0
55,7
56,0
57,7
58,1
59,0
60,2
61,20
62,27
63,0
64,0
65,14
66,0
67,27
68,5
69,0
70,34
71,0
72,8
73,14
74,2
75,7
76,0
77,1
78,41
79,47
80,0
81,27
82,0
83,0
84,0
85,1
86,21
87,20
88,2
89,0
90,2
91,0
92,0
93,0
94,0
95,0
96,0
97,7
98,2
99,0
100,71
101,27
102,0
103,4
104,63
105,0
106,0
107,0
108,0
109,1
110,42
111,2
112,14
113,3
114,12
115,30
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,7
125,0
126,0
127,0
128,1
129,0
130,0
131,73
132,34
133,0
134,0
135,0
136,2
137,3
138,57
139,38
140,12
141,0
142,16
143,122
144,0
145,15
146,0
147,4
148,42
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,148
159,0
160,6
161,0
162,8
163,45
164,60
165,0
166,80
167,0
168,23
169,47
170,12
171,2
172,0
173,0
174,3
175,0
176,4
177,0
178,18
179,0
180,0
181,1
182,4
183,0
184,1
185,53
186,12
187,0
188,0
189,0
190,9
191,0
192,37
193,0
194,2
195,0
196,60
197,85
198,48
199,0
200,2
201,183
202,0
203,0
204,8
205,1
206,4
207,0
208,0
209,2
210,21
211,20
212,0
213,42
214,0
215,0
216,5
217,0
218,0
219,207
220,53
221,2
222,0
223,85
224,17
225,0
226,48
227,12
228,6
229,51
230,0
231,60
232,0
233,0
234,2
235,0
236,0
237,0
238,2
239,0
240,0
241,0
242,20
243,0
244,8
245,0
246,0
247,0
248,0
249,0
250,0
251,5
252,0
253,0
254,70
255,60
256,0
257,0
258,0
259,32
260,0
261,86
262,35
263,9
264,53
265,2
266,73
267,0
268,0
269,0
270,0
271,238
272,0
273,8
274,0
275,2
276,0
277,24
278,0
279,14
280,0
281,0
282,2
283,0
284,51
285,0
286,0
287,0
288,0
289,5
290,0
291,1
292,0
293,12
294,0
295,0
296,0
297,93
298,0
299,0
300,41
301,2
302,0
303,0
304,0
305,62
306,0
307,20
308,60
309,0
310,9
311,8
312,0
313,262
314,2
315,0
316,14
317,87
318,1
319,25
320,51
321,0
322,0
323,12
324,0
325,0
326,7
327,0
328,6
329,2
330,0
331,0
332,0
333,1
334,20
335,15
336,46
337,0
338,2
339,14
340,0
341,0
342,0
343,0
344,0
345,106
346,2
347,89
348,288
349,17
350,0
351,0
352,0
353,0
354,0
355,0
356,7
357,2
358,0
359,51
360,0
361,12
362,2
363,0
364,62
365,60
366,9
367,45
368,10
369,1
370,0
371,0
372,38
373,4
374,1
375,0
376,0
377,0
378,70
379,14
380,0
381,27
382,0
383,57
384,118
385,2
386,0
387,321
388,9
389,41
390,0
391,0
392,32
393,0
394,60
395,17
396,0
397,0
398,0
399,0
400,63
401,94
402,14
403,1
404,0
405,0
406,51
407,0
408,0
409,0
410,2
411,2
412,0
413,5
414,2
415,0
416,0
417,46
418,0
419,61
420,0
421,28
422,2
423,50
424,88
425,63
426,130
427,61
428,14
429,373
430,0
431,0
432,33
433,0
434,5
435,0
436,0
437,51
438,0
439,0
440,7
441,0
442,0
443,1
444,2
445,95
446,2
447,12
448,0
449,0
450,0
451,0
452,0
453,0
454,9
455,0
456,0
457,0
458,0
459,0
460,41
461,1
462,0
463,12
464,76
465,0
466,2
467,2
468,5
469,0
470,61
471,96
472,62
473,51
474,0
475,141
476,0
477,0
478,35
479,0
480,0
481,0
482,0
483,7
484,63
485,446
486,0
487,0
488,0
489,1
490,2
491,12
492,0
493,105
494,16
495,0
496,0
497,51
498,0
499,0
500,0
501,14
502,0
503,8
504,1
505,115
506,155
507,0
508,41
509,0
510,518
511,0
512,99
513,35
514,64
515,97
516,0
517,0
518,18
519,2
520,41
521,62
522,0
523,0
524,0
525,0
526,2
527,0
528,0
529,51
