,historic_Athletics_modal_num
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,2
12,2
13,0
14,0
15,1
16,17
17,0
18,0
19,0
20,0
21,0
22,0
23,2
24,3
25,0
26,0
27,0
28,0
29,0
30,0
31,56
32,1
33,0
34,2
35,10
36,5
37,10
38,0
39,5
40,0
41,12
42,0
43,5
44,2
45,1
46,128
47,13
48,0
49,3
50,0
51,0
52,0
53,1
54,1
55,11
56,0
57,0
58,0
59,1
60,1
61,7
62,31
63,0
64,9
65,0
66,1
67,17
68,6
69,4
70,167
71,2
72,0
73,10
74,1
75,14
76,1
77,0
78,216
79,51
80,0
81,22
82,2
83,5
84,0
85,0
86,0
87,30
88,1
89,0
90,14
91,0
92,16
93,4
94,0
95,0
96,0
97,16
98,5
99,0
100,250
101,32
102,6
103,15
104,70
105,0
106,0
107,0
108,0
109,0
110,51
111,34
112,11
113,2
114,0
115,0
116,1
117,0
118,0
119,6
120,0
121,0
122,10
123,0
124,6
125,0
126,8
127,0
128,4
129,0
130,2
131,91
132,9
133,2
134,1
135,0
136,61
137,2
138,59
139,40
140,0
141,2
142,7
143,298
144,7
145,12
146,0
147,15
148,0
149,0
150,12
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,332
159,2
160,2
161,8
162,29
163,27
164,66
165,1
166,99
167,1
168,13
169,43
170,0
171,75
172,2
173,0
174,2
175,0
176,5
177,0
178,7
179,0
180,1
181,0
182,13
183,0
184,1
185,35
186,0
187,2
188,1
189,2
190,5
191,14
192,13
193,8
194,86
195,0
196,67
197,113
198,44
199,4
200,0
201,376
202,2
203,0
204,44
205,2
206,2
207,0
208,1
209,1
210,6
211,7
212,1
213,0
214,0
215,0
216,14
217,1
218,3
219,410
220,14
221,96
222,2
223,126
224,7
225,22
226,44
227,0
228,2
229,0
230,0
231,69
232,0
233,0
234,0
235,0
236,0
237,8
238,2
239,0
240,0
241,0
242,8
243,0
244,51
245,0
246,0
247,0
248,0
249,0
250,0
251,14
252,0
253,7
254,17
255,85
256,0
257,5
258,3
259,16
260,2
261,136
262,13
263,30
264,55
265,99
266,57
267,1
268,7
269,0
270,9
271,443
272,0
273,55
274,0
275,4
276,0
277,17
278,0
279,3
280,0
281,0
282,0
283,1
284,2
285,0
286,3
287,0
288,2
289,14
290,0
291,0
292,0
293,2
294,1
295,3
296,20
297,25
298,7
299,0
300,13
301,100
302,0
303,2
304,0
305,88
306,0
307,32
308,57
309,8
310,1
311,55
312,0
313,483
314,5
315,0
316,3
317,144
318,4
319,21
320,2
321,0
322,1
323,2
324,9
325,1
326,16
327,3
328,16
329,0
330,6
331,0
332,0
333,2
334,32
335,45
336,13
337,0
338,103
339,3
340,10
341,0
342,0
343,0
344,2
345,27
346,10
347,157
348,523
349,2
350,9
351,1
352,0
353,0
354,0
355,6
356,17
357,5
358,12
359,2
360,0
361,2
362,0
363,1
364,89
365,58
366,55
367,39
368,16
369,5
370,0
371,0
372,17
373,0
374,3
375,0
376,0
377,0
378,43
379,32
380,2
381,69
382,11
383,13
384,30
385,104
386,0
387,555
388,55
389,17
390,6
391,0
392,35
393,19
394,60
395,2
396,0
397,1
398,0
399,2
400,90
401,168
402,3
403,8
404,0
405,0
406,3
407,0
408,0
409,0
410,5
411,3
412,1
413,0
414,2
415,0
416,13
417,87
418,0
419,14
420,2
421,2
422,105
423,17
424,49
425,91
426,34
427,65
428,3
429,588
430,0
431,5
432,37
433,33
434,0
435,0
436,0
437,4
438,0
439,1
440,17
441,0
442,6
443,12
444,5
445,186
446,3
447,2
448,12
449,1
450,1
451,2
452,11
453,1
454,57
455,1
456,0
457,0
458,0
459,1
460,2
461,15
462,2
463,6
464,103
465,9
466,106
467,4
468,11
469,0
470,15
471,190
472,70
473,18
474,35
475,41
476,0
477,0
478,39
479,6
480,0
481,0
482,0
483,17
484,91
485,625
486,12
487,0
488,1
489,13
490,5
491,4
492,0
493,55
494,57
495,12
496,9
497,4
498,4
499,3
500,0
501,3
502,0
503,1
504,14
505,57
506,41
507,0
508,41
509,14
510,653
511,0
512,123
513,32
514,15
515,197
516,38
517,4
518,31
519,17
520,2
521,75
522,6
523,12
524,11
525,0
526,110
527,0
528,0
529,18
