,historic_Gymnastics_modal_num
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,30
16,0
17,0
18,0
19,3
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,30
33,3
34,0
35,12
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,32
45,0
46,44
47,3
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,12
56,0
57,0
58,0
59,0
60,0
61,32
62,1
63,0
64,0
65,0
66,25
67,4
68,59
69,32
70,44
71,0
72,0
73,0
74,0
75,12
76,1
77,0
78,44
79,25
80,0
81,5
82,19
83,79
84,5
85,0
86,0
87,83
88,49
89,0
90,0
91,0
92,46
93,0
94,0
95,0
96,0
97,12
98,0
99,5
100,44
101,31
102,48
103,0
104,25
105,0
106,0
107,0
108,0
109,0
110,107
111,46
112,16
113,98
114,0
115,48
116,0
117,0
118,0
119,105
120,0
121,0
122,0
123,0
124,0
125,0
126,58
127,2
128,0
129,9
130,19
131,25
132,32
133,0
134,0
135,0
136,46
137,98
138,107
139,44
140,0
141,0
142,0
143,45
144,105
145,16
146,0
147,0
148,48
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,45
159,0
160,0
161,71
162,0
163,32
164,107
165,0
166,37
167,0
168,16
169,44
170,0
171,47
172,35
173,21
174,98
175,0
176,12
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,32
186,0
187,36
188,21
189,0
190,12
191,82
192,20
193,105
194,56
195,14
196,107
197,37
198,44
199,0
200,0
201,65
202,0
203,0
204,0
205,0
206,98
207,0
208,0
209,0
210,0
211,0
212,0
213,48
214,0
215,0
216,0
217,30
218,52
219,65
220,28
221,65
222,0
223,37
224,12
225,82
226,44
227,0
228,98
229,48
230,15
231,107
232,0
233,0
234,0
235,0
236,0
237,105
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,48
255,107
256,0
257,68
258,41
259,12
260,0
261,37
262,0
263,82
264,44
265,82
266,59
267,15
268,0
269,0
270,105
271,73
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,98
280,0
281,0
282,0
283,0
284,48
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,43
297,70
298,1
299,0
300,4
301,90
302,0
303,0
304,0
305,116
306,0
307,82
308,44
309,49
310,15
311,0
312,0
313,73
314,0
315,0
316,98
317,37
318,0
319,0
320,48
321,0
322,0
323,0
324,105
325,0
326,12
327,0
328,0
329,0
330,82
331,0
332,0
333,0
334,82
335,81
336,20
337,0
338,96
339,98
340,50
341,7
342,0
343,0
344,0
345,87
346,1
347,37
348,73
349,15
350,7
351,0
352,0
353,0
354,0
355,82
356,12
357,0
358,105
359,48
360,0
361,0
362,0
363,0
364,124
365,44
366,0
367,0
368,0
369,0
370,0
371,0
372,12
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,117
382,57
383,34
384,87
385,97
386,0
387,73
388,0
389,12
390,82
391,0
392,90
393,7
394,44
395,15
396,0
397,0
398,1
399,13
400,124
401,37
402,98
403,0
404,0
405,0
406,48
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,66
417,146
418,0
419,54
420,0
421,17
422,98
423,12
424,0
425,124
426,89
427,44
428,98
429,73
430,0
431,13
432,93
433,7
434,0
435,1
436,0
437,48
438,0
439,0
440,12
441,0
442,82
443,0
444,0
445,37
446,0
447,0
448,105
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,18
461,77
462,0
463,14
464,174
465,13
466,99
467,0
468,0
469,0
470,71
471,37
472,44
473,12
474,7
475,89
476,0
477,0
478,93
479,82
480,1
481,0
482,0
483,12
484,124
485,73
486,105
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,48
498,0
499,0
500,0
501,98
502,0
503,0
504,0
505,0
506,95
507,0
508,93
509,0
510,73
511,0
512,200
513,33
514,92
515,37
516,7
517,1
518,0
519,77
520,18
521,44
522,82
523,105
524,13
525,0
526,99
527,0
528,0
529,12
