,historic_bronze_modal_num
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,2
12,2
13,2
14,0
15,2
16,2
17,0
18,0
19,0
20,3
21,0
22,0
23,0
24,3
25,0
26,2
27,0
28,0
29,0
30,0
31,16
32,12
33,1
34,1
35,22
36,10
37,12
38,5
39,5
40,0
41,12
42,0
43,6
44,17
45,1
46,127
47,55
48,15
49,1
50,0
51,0
52,0
53,5
54,3
55,23
56,0
57,6
58,15
59,1
60,8
61,24
62,80
63,0
64,27
65,21
66,27
67,76
68,12
69,6
70,142
71,0
72,7
73,11
74,2
75,23
76,0
77,26
78,173
79,138
80,0
81,81
82,2
83,35
84,2
85,48
86,30
87,37
88,42
89,0
90,30
91,0
92,49
93,0
94,0
95,0
96,0
97,24
98,3
99,23
100,211
101,136
102,9
103,33
104,155
105,0
106,10
107,0
108,0
109,72
110,94
111,66
112,14
113,43
114,12
115,95
116,0
117,0
118,0
119,62
120,0
121,0
122,6
123,1
124,4
125,0
126,30
127,0
128,89
129,15
130,44
131,175
132,47
133,0
134,2
135,0
136,81
137,45
138,143
139,156
140,13
141,4
142,6
143,262
144,65
145,22
146,0
147,34
148,101
149,1
150,7
151,1
152,0
153,0
154,0
155,2
156,7
157,0
158,279
159,0
160,2
161,61
162,55
163,86
164,164
165,15
166,199
167,2
168,22
169,169
170,15
171,90
172,49
173,17
174,48
175,0
176,95
177,0
178,7
179,0
180,0
181,1
182,12
183,0
184,7
185,91
186,18
187,49
188,18
189,0
190,95
191,79
192,30
193,66
194,106
195,10
196,176
197,213
198,175
199,29
200,1
201,338
202,10
203,0
204,78
205,7
206,52
207,0
208,0
209,4
210,6
211,8
212,2
213,105
214,23
215,3
216,15
217,18
218,73
219,353
220,46
221,119
222,0
223,221
224,116
225,84
226,193
227,22
228,55
229,117
230,10
231,192
232,0
233,0
234,3
235,0
236,0
237,81
238,11
239,6
240,3
241,1
242,9
243,1
244,87
245,0
246,0
247,0
248,16
249,1
250,5
251,15
252,0
253,33
254,67
255,221
256,0
257,78
258,21
259,148
260,0
261,232
262,14
263,96
264,214
265,126
266,150
267,10
268,34
269,1
270,92
271,388
272,23
273,92
274,1
275,12
276,0
277,14
278,2
279,82
280,9
281,0
282,4
283,3
284,125
285,3
286,0
287,0
288,2
289,16
290,17
291,20
292,0
293,25
294,0
295,0
296,19
297,99
298,35
299,25
300,16
301,155
302,0
303,1
304,0
305,244
306,1
307,111
308,230
309,31
310,10
311,92
312,5
313,416
314,14
315,4
316,87
317,258
318,4
319,25
320,125
321,0
322,4
323,27
324,92
325,0
326,24
327,0
328,20
329,20
330,90
331,0
332,17
333,19
334,121
335,74
336,21
337,15
338,177
339,88
340,32
341,35
342,0
343,1
344,1
345,113
346,22
347,280
348,436
349,10
350,44
351,1
352,6
353,0
354,0
355,93
356,25
357,15
358,94
359,125
360,11
361,31
362,5
363,6
364,250
365,243
366,97
367,51
368,27
369,4
370,0
371,0
372,148
373,21
374,19
375,0
376,0
377,0
378,60
379,43
380,1
381,119
382,43
383,31
384,149
385,181
386,1
387,457
388,97
389,150
390,99
391,5
392,155
393,59
394,248
395,10
396,9
397,6
398,18
399,46
400,253
401,295
402,92
403,5
404,2
405,2
406,127
407,0
408,3
409,0
410,16
411,32
412,0
413,22
414,5
415,0
416,55
417,169
418,0
419,58
420,1
421,12
422,183
423,166
424,89
425,261
426,156
427,265
428,96
429,493
430,1
431,56
432,164
433,84
434,23
435,20
436,11
437,128
438,0
439,7
440,25
441,0
442,100
443,7
444,16
445,300
446,44
447,31
448,94
449,1
450,1
451,0
452,0
453,3
454,98
455,0
456,0
457,0
458,6
459,2
460,14
461,70
462,16
463,19
464,229
465,65
466,184
467,47
468,18
469,7
470,80
471,305
472,275
473,167
474,114
475,185
476,0
477,1
478,183
479,110
480,23
481,13
482,3
483,26
484,262
485,528
486,94
487,1
488,7
489,9
490,18
491,34
492,0
493,99
494,102
495,3
496,3
497,130
498,0
499,2
500,1
501,102
502,1
503,26
504,10
505,101
506,210
507,7
508,196
509,21
510,571
511,1
512,287
513,75
514,88
515,317
516,125
517,29
518,54
519,76
520,16
521,290
522,110
523,98
524,92
525,14
526,190
527,11
528,3
529,169
530,270
