,historic_gold_modal_num
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,5
12,2
13,2
14,0
15,26
16,11
17,0
18,0
19,1
20,1
21,0
22,0
23,2
24,2
25,0
26,2
27,0
28,0
29,0
30,0
31,38
32,37
33,14
34,1
35,10
36,20
37,50
38,2
39,3
40,1
41,51
42,0
43,5
44,41
45,0
46,184
47,51
48,5
49,27
50,0
51,0
52,2
53,2
54,0
55,11
56,0
57,2
58,0
59,0
60,2
61,45
62,195
63,1
64,44
65,6
66,1
67,60
68,69
69,7
70,218
71,1
72,2
73,11
74,15
75,11
76,4
77,0
78,263
79,239
80,0
81,70
82,22
83,48
84,15
85,0
86,15
87,155
88,7
89,2
90,47
91,0
92,10
93,6
94,0
95,0
96,0
97,12
98,4
99,21
100,373
101,83
102,90
103,57
104,294
105,0
106,0
107,0
108,0
109,14
110,208
111,28
112,21
113,37
114,2
115,72
116,1
117,0
118,0
119,106
120,0
121,0
122,9
123,0
124,4
125,0
126,115
127,2
128,22
129,1
130,34
131,311
132,55
133,0
134,6
135,22
136,52
137,39
138,214
139,122
140,2
141,2
142,7
143,483
144,122
145,23
146,0
147,57
148,75
149,0
150,10
151,0
152,0
153,0
154,2
155,0
156,0
157,0
158,526
159,15
160,2
161,133
162,64
163,75
164,221
165,1
166,317
167,1
168,32
169,129
170,4
171,60
172,50
173,3
174,44
175,5
176,42
177,0
178,8
179,44
180,1
181,0
182,11
183,0
184,9
185,82
186,5
187,50
188,4
189,26
190,44
191,154
192,52
193,126
194,65
195,3
196,233
197,325
198,152
199,3
200,2
201,604
202,4
203,0
204,66
205,12
206,44
207,0
208,0
209,0
210,12
211,11
212,1
213,75
214,0
215,0
216,13
217,9
218,51
219,655
220,77
221,72
222,45
223,337
224,53
225,190
226,164
227,10
228,44
229,75
230,3
231,240
232,0
233,0
234,4
235,0
236,0
237,127
238,17
239,0
240,5
241,1
242,11
243,44
244,67
245,0
246,0
247,0
248,0
249,5
250,1
251,13
252,0
253,3
254,92
255,269
256,0
257,56
258,23
259,61
260,65
261,343
262,21
263,210
264,189
265,87
266,170
267,3
268,3
269,5
270,130
271,738
272,0
273,67
274,0
275,20
276,0
277,13
278,0
279,51
280,0
281,0
282,6
283,7
284,79
285,44
286,1
287,0
288,2
289,15
290,1
291,4
292,0
293,11
294,0
295,3
296,36
297,144
298,4
299,1
300,22
301,95
302,0
303,79
304,0
305,292
306,0
307,227
308,203
309,34
310,7
311,68
312,0
313,817
314,22
315,0
316,54
317,346
318,3
319,20
320,83
321,0
322,9
323,11
324,135
325,0
326,12
327,3
328,17
329,4
330,58
331,0
332,44
333,2
334,252
335,104
336,26
337,1
338,98
339,55
340,35
341,7
342,0
343,5
344,96
345,174
346,12
347,354
348,878
349,7
350,5
351,0
352,2
353,0
354,0
355,58
356,12
357,22
358,136
359,83
360,0
361,11
362,6
363,12
364,306
365,209
366,73
367,43
368,17
369,6
370,0
371,0
372,61
373,5
374,3
375,0
376,0
377,0
378,53
379,46
380,96
381,165
382,39
383,35
384,187
385,99
386,13
387,946
388,73
389,61
390,58
391,0
392,288
393,9
394,209
395,23
396,2
397,19
398,2
399,10
400,308
401,356
402,57
403,8
404,0
405,0
406,83
407,0
408,5
409,0
410,22
411,3
412,1
413,5
414,0
415,0
416,44
417,226
418,0
419,67
420,111
421,25
422,102
423,66
424,61
425,311
426,229
427,210
428,64
429,1024
430,13
431,12
432,301
433,19
434,5
435,5
436,2
437,85
438,0
439,21
440,15
441,0
442,59
443,12
444,22
445,360
446,3
447,12
448,138
449,0
450,0
451,2
452,6
453,5
454,75
455,0
456,0
457,0
458,0
459,0
460,38
461,51
462,111
463,13
464,292
465,17
466,103
467,3
468,16
469,0
470,83
471,368
472,222
473,72
474,24
475,261
476,0
477,26
478,306
479,59
480,7
481,4
482,0
483,15
484,315
485,1107
486,142
487,0
488,23
489,17
490,22
491,12
492,0
493,66
494,78
495,3
496,5
497,85
498,3
499,1
500,0
501,68
502,0
503,8
504,26
505,77
506,271
507,0
508,315
509,8
510,1160
511,26
512,399
513,43
514,112
515,376
516,51
517,13
518,59
519,53
520,53
521,224
522,59
523,144
524,20
525,4
526,106
527,0
528,0
529,75
