,historic_silver_modal_num
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,4
12,3
13,2
14,0
15,5
16,7
17,0
18,0
19,2
20,2
21,0
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,21
32,24
33,3
34,0
35,20
36,10
37,23
38,4
39,3
40,1
41,24
42,0
43,4
44,28
45,0
46,158
47,90
48,19
49,9
50,0
51,0
52,2
53,5
54,6
55,20
56,0
57,4
58,5
59,1
60,17
61,39
62,159
63,2
64,17
65,43
66,1
67,95
68,18
69,40
70,172
71,1
72,4
73,11
74,2
75,23
76,7
77,5
78,197
79,217
80,0
81,105
82,8
83,46
84,3
85,5
86,44
87,80
88,62
89,0
90,19
91,0
92,37
93,3
94,0
95,0
96,0
97,23
98,0
99,5
100,242
101,178
102,17
103,22
104,252
105,0
106,0
107,0
108,0
109,15
110,116
111,51
112,28
113,106
114,13
115,110
116,2
117,0
118,3
119,102
120,0
121,0
122,15
123,0
124,5
125,0
126,22
127,0
128,16
129,4
130,36
131,281
132,58
133,2
134,3
135,0
136,64
137,114
138,141
139,241
140,16
141,3
142,10
143,279
144,109
145,38
146,0
147,41
148,139
149,4
150,16
151,3
152,0
153,0
154,24
155,0
156,0
157,0
158,303
159,2
160,8
161,43
162,46
163,71
164,149
165,7
166,306
167,0
168,49
169,257
170,16
171,72
172,44
173,16
174,119
175,24
176,55
177,0
178,12
179,0
180,0
181,0
182,16
183,0
184,27
185,97
186,17
187,45
188,18
189,2
190,65
191,81
192,53
193,113
194,80
195,1
196,156
197,318
198,265
199,10
200,1
201,347
202,4
203,0
204,59
205,28
206,124
207,2
208,1
209,0
210,25
211,13
212,2
213,140
214,0
215,0
216,16
217,30
218,67
219,373
220,54
221,86
222,2
223,334
224,72
225,111
226,278
227,58
228,127
229,140
230,2
231,167
232,0
233,0
234,2
235,0
236,0
237,125
238,30
239,0
240,3
241,0
242,13
243,0
244,71
245,0
246,0
247,0
248,2
249,24
250,1
251,17
252,0
253,15
254,78
255,182
256,0
257,89
258,33
259,74
260,2
261,373
262,29
263,142
264,300
265,93
266,160
267,18
268,15
269,27
270,129
271,403
272,2
273,72
274,0
275,38
276,1
277,22
278,0
279,142
280,2
281,0
282,4
283,4
284,142
285,1
286,2
287,1
288,2
289,18
290,1
291,3
292,0
293,58
294,1
295,0
296,62
297,95
298,17
299,3
300,38
301,96
302,0
303,2
304,0
305,206
306,0
307,163
308,309
309,37
310,38
311,75
312,3
313,426
314,40
315,0
316,143
317,375
318,2
319,24
320,145
321,0
322,4
323,59
324,137
325,5
326,28
327,1
328,26
329,4
330,108
331,0
332,1
333,1
334,174
335,108
336,53
337,3
338,97
339,148
340,42
341,6
342,14
343,28
344,2
345,115
346,23
347,390
348,463
349,61
350,26
351,0
352,5
353,0
354,0
355,108
356,28
357,41
358,137
359,147
360,2
361,59
362,4
363,6
364,220
365,322
366,84
367,36
368,26
369,2
370,0
371,0
372,92
373,4
374,1
375,0
376,0
377,0
378,53
379,56
380,15
381,171
382,49
383,63
384,131
385,98
386,14
387,486
388,93
389,93
390,113
391,1
392,192
393,37
394,328
395,62
396,6
397,8
398,6
399,7
400,222
401,401
402,165
403,2
404,0
405,1
406,149
407,0
408,5
409,0
410,44
411,1
412,0
413,4
414,0
415,1
416,87
417,234
418,0
419,68
420,15
421,73
422,98
423,102
424,58
425,226
426,138
427,341
428,166
429,522
430,30
431,11
432,220
433,50
434,4
435,11
436,6
437,149
438,0
439,11
440,28
441,0
442,117
443,2
444,45
445,420
446,1
447,61
448,137
449,1
450,0
451,0
452,5
453,6
454,95
455,1
456,0
457,0
458,3
459,0
460,87
461,94
462,15
463,19
464,296
465,20
466,100
467,2
468,15
469,4
470,97
471,425
472,346
473,109
474,52
475,158
476,0
477,30
478,228
479,120
480,32
481,7
482,1
483,28
484,230
485,553
486,139
487,1
488,11
489,2
490,45
491,63
492,0
493,92
494,98
495,7
496,16
497,150
498,1
499,1
500,1
501,172
502,0
503,7
504,6
505,99
506,204
507,5
508,231
509,17
510,612
511,45
512,342
513,81
514,116
515,434
516,60
517,42
518,32
519,115
520,88
521,351
522,128
523,141
524,30
525,9
526,101
527,4
528,2
529,110
530,239
