,man_woman_ratio_total
0,10.0
1,10.0
2,10.0
3,10.0
4,10.0
5,10.0
6,10.0
7,10.0
8,10.0
9,10.0
10,10.0
11,184.0
12,38.0
13,10.333333333333334
14,10.0
15,10.0
16,12.75
17,10.0
18,10.0
19,10.0
20,10.0
21,1.0
22,10.0
23,10.0
24,10.0
25,10.0
26,10.0
27,10.0
28,10.0
29,10.0
30,10.0
31,31.833333333333332
32,10.0
33,10.0
34,10.0
35,10.0
36,10.0
37,10.0
38,10.0
39,10.0
40,10.0
41,30.545454545454547
42,10.0
43,10.0
44,6.333333333333333
45,97.0
46,10.0
47,10.0
48,10.0
49,10.0
50,10.0
51,10.0
52,10.0
53,10.0
54,10.0
55,10.0
56,10.0
57,10.0
58,10.0
59,10.0
60,83.0
61,7.666666666666667
62,15.0
63,10.0
64,10.0
65,10.0
66,10.0
67,11.5
68,42.25
69,75.0
70,10.0
71,10.0
72,2.5
73,10.0
74,4.0
75,10.0
76,10.0
77,10.0
78,12.785714285714286
79,6.642857142857143
80,10.0
81,34.25
82,10.0
83,140.0
84,10.0
85,10.0
86,10.0
87,19.857142857142858
88,74.0
89,10.0
90,10.0
91,9.0
92,48.0
93,10.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,10.0
100,6.92
101,121.0
102,10.0
103,10.0
104,3.4
105,10.0
106,10.0
107,10.0
108,10.0
109,25.0
110,10.428571428571429
111,10.0
112,10.0
113,5.0
114,10.0
115,10.0
116,10.0
117,10.0
118,10.0
119,10.0
120,10.0
121,10.0
122,10.0
123,10.0
124,10.0
125,10.0
126,4.833333333333333
127,10.0
128,3.0625
129,10.0
130,28.0
131,1.75
132,7.0
133,10.0
134,10.0
135,10.0
136,10.0
137,10.0
138,11.0
139,35.0
140,10.0
141,10.0
142,10.0
143,3.2
144,10.0
145,10.0
146,10.0
147,3.7142857142857144
148,10.0
149,17.0
150,0.5
151,7.0
152,10.0
153,10.0
154,10.0
155,10.0
156,10.0
157,10.0
158,5.703703703703703
159,10.0
160,30.0
161,10.0
162,5.333333333333333
163,18.0
164,10.0
165,8.5
166,2.4
167,10.0
168,31.0
169,10.0
170,4.0
171,10.0
172,10.0
173,10.0
174,8.0
175,10.0
176,1.4
177,10.0
178,1.5
179,10.0
180,10.0
181,10.0
182,1.5
183,10.0
184,10.0
185,8.130434782608695
186,49.0
187,10.0
188,1.125
189,10.0
190,3.625
191,70.0
192,3.2
193,10.0
194,10.0
195,10.0
196,10.0
197,6.2
198,10.0
199,2.0
200,10.0
201,4.75
202,10.0
203,10.0
204,3.4
205,10.0
206,2.0
207,10.0
208,10.0
209,10.0
210,20.0
211,10.0
212,10.0
213,10.0
214,10.0
215,10.0
216,10.0
217,1.5
218,10.0
219,5.7272727272727275
220,4.454545454545454
221,28.0
222,10.0
223,10.2
224,2.0
225,30.5
226,16.0
227,0.0
228,3.4545454545454546
229,10.0
230,10.0
231,72.0
232,10.0
233,10.0
234,10.0
235,10.0
236,10.0
237,10.0
238,11.0
239,10.0
240,10.0
241,10.0
242,1.0
243,10.0
244,0.5
245,10.0
246,10.0
247,10.0
248,10.0
249,10.0
250,10.0
251,10.0
252,10.0
253,10.0
254,2.0606060606060606
255,7.75
256,2.1621621621621623
257,10.0
258,1.7777777777777777
259,1.5714285714285714
260,10.0
261,3.4285714285714284
262,10.0
263,52.0
264,38.0
265,39.0
266,4.714285714285714
267,10.0
268,10.0
269,10.0
270,12.0
271,7.666666666666667
272,10.0
273,10.0
274,10.0
275,10.0
276,10.0
277,4.0
278,10.0
279,3.5
280,10.0
281,10.0
282,10.0
283,10.0
284,10.0
285,10.0
286,10.0
287,10.0
288,0.5
289,3.6666666666666665
290,10.0
291,10.0
292,10.0
293,2.0
294,10.0
295,10.0
296,4.827586206896552
297,2.5555555555555554
298,1.7142857142857142
299,1.375
300,10.0
301,10.0
302,2.3529411764705883
303,10.0
304,10.0
305,3.857142857142857
306,10.0
307,10.0
308,31.0
309,2.5
310,10.0
311,18.0
312,10.0
313,4.9
314,10.0
315,10.0
316,1.3333333333333333
317,4.0
318,10.0
319,2.210526315789474
320,10.0
321,10.0
322,10.0
323,10.0
324,10.0
325,3.0
326,10.0
327,10.0
328,0.75
329,10.0
330,10.0
331,10.0
332,10.0
333,10.0
334,13.666666666666666
335,3.3333333333333335
336,28.0
337,10.0
338,10.0
339,10.0
340,1.75
341,0.6666666666666666
342,10.0
343,10.0
344,10.0
345,8.285714285714286
346,2.52
347,2.5
348,4.333333333333333
349,10.0
350,3.2857142857142856
351,10.0
352,10.0
353,10.0
354,10.0
355,10.0
356,10.0
357,10.0
358,10.0
359,10.0
360,10.0
361,10.0
362,10.0
363,10.0
364,6.0
365,10.0
366,10.0
367,2.272727272727273
368,10.0
369,10.0
370,10.0
371,10.0
372,0.5
373,10.0
374,10.0
375,10.0
376,10.0
377,10.0
378,3.2
379,7.846153846153846
380,10.0
381,2.625
382,5.111111111111111
383,2.5555555555555554
384,5.222222222222222
385,10.0
386,10.0
387,3.411764705882353
388,10.0
389,2.3333333333333335
390,5.0
391,10.0
392,49.0
393,1.4
394,9.333333333333334
395,10.0
396,10.0
397,10.0
398,10.0
399,1.6666666666666667
400,10.0
401,2.5
402,10.0
403,5.0
404,10.0
405,10.0
406,10.0
407,10.0
408,10.0
409,10.0
410,10.0
411,10.0
412,10.0
413,10.0
414,10.0
415,10.0
416,1.2307692307692308
417,2.836734693877551
418,2.1875
419,4.583333333333333
420,10.0
421,13.5
422,10.0
423,6.0
424,3.9
425,10.0
426,6.363636363636363
427,12.5
428,10.0
429,2.5476190476190474
430,10.0
431,1.3
432,10.0
433,1.6428571428571428
434,3.5
435,10.0
436,10.0
437,10.0
438,10.0
439,10.0
440,10.0
441,3.9
442,12.0
443,10.0
444,10.0
445,5.0
446,10.0
447,1.5
448,10.0
449,10.0
450,10.0
451,10.0
452,10.0
453,1.5
454,0.6666666666666666
455,0.0
456,10.0
457,10.0
458,10.0
459,10.0
460,10.0
461,13.5
462,10.0
463,2.148936170212766
464,3.688888888888889
465,4.0
466,10.0
467,10.0
468,2.6923076923076925
469,10.0
470,3.3076923076923075
471,6.25
472,10.0
473,5.0
474,22.0
475,4.4
476,0.36363636363636365
477,10.0
478,4.0
479,10.0
480,4.5
481,10.0
482,10.0
483,10.0
484,3.2
485,3.84375
486,10.0
487,10.0
488,10.0
489,10.0
490,10.0
491,2.0
492,10.0
493,1.0
494,4.0
495,10.0
496,3.4
497,10.0
498,10.0
499,10.0
500,10.0
501,10.0
502,10.0
503,10.0
504,10.0
505,10.0
506,1.2916666666666667
507,0.4166666666666667
