,woman_ratio_total
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.005405405405405406
12,0.02564102564102564
13,0.08823529411764706
14,0.0
15,0.0
16,0.07272727272727272
17,0.0
18,0.0
19,0.0
20,0.0
21,0.5
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.030456852791878174
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.03170028818443804
42,0.0
43,0.0
44,0.13636363636363635
45,0.01020408163265306
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.011904761904761904
61,0.11538461538461539
62,0.0625
63,0.0
64,0.0
65,0.0
66,0.0
67,0.08
68,0.023121387283236993
69,0.013157894736842105
70,0.0
71,0.0
72,0.2857142857142857
73,0.0
74,0.2
75,0.0
76,0.0
77,0.0
78,0.07253886010362694
79,0.1308411214953271
80,0.0
81,0.028368794326241134
82,0.0
83,0.0070921985815602835
84,0.0
85,0.0
86,0.0
87,0.04794520547945205
88,0.013333333333333334
89,0.0
90,0.0
91,0.1
92,0.02040816326530612
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.12626262626262627
101,0.00819672131147541
102,0.0
103,0.0
104,0.22727272727272727
105,0.0
106,0.0
107,0.0
108,0.0
109,0.038461538461538464
110,0.0875
111,0.0
112,0.0
113,0.16666666666666666
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.17142857142857143
127,0.0
128,0.24615384615384617
129,0.0
130,0.034482758620689655
131,0.36363636363636365
132,0.125
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.08333333333333333
139,0.027777777777777776
140,0.0
141,0.0
142,0.0
143,0.23809523809523808
144,0.0
145,0.0
146,0.0
147,0.21212121212121213
148,0.0
149,0.05555555555555555
150,0.6666666666666666
151,0.125
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.14917127071823205
159,0.0
160,0.03225806451612903
161,0.0
162,0.15789473684210525
163,0.05263157894736842
164,0.0
165,0.10526315789473684
166,0.29411764705882354
167,0.0
168,0.03125
169,0.0
170,0.2
171,0.0
172,0.0
173,0.0
174,0.1111111111111111
175,0.0
176,0.4166666666666667
177,0.0
178,0.4
179,0.0
180,0.0
181,0.0
182,0.4
183,0.0
184,0.0
185,0.10952380952380952
186,0.02
187,0.0
188,0.47058823529411764
189,0.0
190,0.21621621621621623
191,0.014084507042253521
192,0.23809523809523808
193,0.0
194,0.0
195,0.0
196,0.0
197,0.1388888888888889
198,0.0
199,0.3333333333333333
200,0.0
201,0.17391304347826086
202,0.0
203,0.0
204,0.22727272727272727
205,0.09090909090909091
206,0.3333333333333333
207,0.0
208,0.0
209,0.0
210,0.047619047619047616
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.4
218,0.0
219,0.14864864864864866
220,0.18333333333333332
221,0.034482758620689655
222,0.0
223,0.08928571428571429
224,0.3333333333333333
225,0.031746031746031744
226,0.058823529411764705
227,1.0
228,0.22448979591836735
229,0.0
230,0.0
231,0.0136986301369863
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.08333333333333333
239,0.0
240,0.0
241,0.0
242,0.5
243,0.0
244,0.6666666666666666
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.32673267326732675
255,0.11428571428571428
256,0.3162393162393162
257,0.0
258,0.36
259,0.3888888888888889
260,0.0
261,0.22580645161290322
262,0.0
263,0.018867924528301886
264,0.02564102564102564
265,0.025
266,0.175
267,0.0
268,0.0
269,0.0
270,0.07692307692307693
271,0.11538461538461539
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.2
278,0.0
279,0.2222222222222222
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.6666666666666666
289,0.21428571428571427
290,0.0
291,0.0
292,0.0
293,0.3333333333333333
294,0.0
295,0.0
296,0.17159763313609466
297,0.28125
298,0.3684210526315789
299,0.42105263157894735
300,0.0
301,0.0
302,0.2982456140350877
303,0.0
304,0.0
305,0.20588235294117646
306,0.0
307,0.0
308,0.03125
309,0.2857142857142857
310,0.0
311,0.05263157894736842
312,0.0
313,0.1694915254237288
314,0.0
315,0.0
316,0.42857142857142855
317,0.2
318,0.0
319,0.3114754098360656
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.25
326,0.0
327,0.0
328,0.5714285714285714
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.06818181818181818
335,0.23076923076923078
336,0.034482758620689655
337,0.0
338,0.0
339,0.0
340,0.36363636363636365
341,0.6
342,0.0
343,0.0
344,0.0
345,0.1076923076923077
346,0.2840909090909091
347,0.2857142857142857
348,0.1875
349,0.0
350,0.23333333333333334
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.14285714285714285
365,0.0
366,0.0
367,0.3055555555555556
368,0.0
369,0.0
370,0.0
371,0.0
372,0.6666666666666666
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.23809523809523808
379,0.11304347826086956
380,0.0
381,0.27586206896551724
382,0.16363636363636364
383,0.28125
384,0.16071428571428573
385,0.0
386,0.0
387,0.22666666666666666
388,0.0
389,0.3
390,0.16666666666666666
391,0.0
392,0.02
393,0.4166666666666667
394,0.0967741935483871
395,0.0
396,0.0
397,0.0
398,0.0
399,0.375
400,0.0
401,0.2857142857142857
402,0.0
403,0.16666666666666666
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.4482758620689655
417,0.26063829787234044
418,0.3137254901960784
419,0.1791044776119403
420,0.0
421,0.06896551724137931
422,0.0
423,0.14285714285714285
424,0.20408163265306123
425,0.0
426,0.13580246913580246
427,0.07407407407407407
428,0.0
429,0.28187919463087246
430,0.0
431,0.43478260869565216
432,0.0
433,0.3783783783783784
434,0.2222222222222222
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.20408163265306123
442,0.07692307692307693
443,0.0
444,0.0
445,0.16666666666666666
446,0.0
447,0.4
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.4
454,0.6
455,1.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.06896551724137931
