Checkbox,ID,creator,Feature,Input,Description,Score
check,0,auto,MEAN(countries_at_olympic_games.NUM_UNIQUE(medals_won.Event)),Sport,"The average of the number of unique elements in the ""Event"" of all instances of ""medals_won"" for each ""Country Olympic ID"" in ""countries_at_olympic_games"" of all instances of ""countries_at_olympic_games"" for each ""Code"" in ""countries"".",0.1541603739
check,1,auto,ABSOLUTE(MEAN(medals_won.Height)),Athelete,"The absolute value of the average of the ""Height"" of all instances of ""medals_won"" for each ""Code"" in ""countries"".",0.1356669643
check,2,auto,MIN(countries_at_olympic_games.MEAN(medals_won.Height)),Athelete,"The minimum of the average of the ""Height"" of all instances of ""medals_won"" for each ""Country Olympic ID"" in ""countries_at_olympic_games"" of all instances of ""countries_at_olympic_games"" for each ""Code"" in ""countries"".",0.10049945560000001
check,3,auto,MEAN(medals_won.Height),Athelete,"The average of the ""Height"" of all instances of ""medals_won"" for each ""Code"" in ""countries"".",0.09471304118999999
check,4,human / auto,MEAN(countries_at_olympic_games.COUNT(medals_won)),Medal,"The average of the number of all instances of ""medals_won"" for each ""Country Olympic ID"" in ""countries_at_olympic_games"" of all instances of ""countries_at_olympic_games"" for each ""Code"" in ""countries"".",0.060924074820000014
check,5,auto,MEAN(countries_at_olympic_games.SUM(medals_won.Height)),Athelete,"The average of the sum of the ""Height"" of all instances of ""medals_won"" for each ""Country Olympic ID"" in ""countries_at_olympic_games"" of all instances of ""countries_at_olympic_games"" for each ""Code"" in ""countries"".",0.04135679525
check,6,auto,MAX(countries_at_olympic_games.MIN(medals_won.Age)),Athelete,"The maximum of the minimum of the ""Age"" of all instances of ""medals_won"" for each ""Country Olympic ID"" in ""countries_at_olympic_games"" of all instances of ""countries_at_olympic_games"" for each ""Code"" in ""countries"".",0.03892498789
check,7,auto,MEAN(countries_at_olympic_games.SUM(medals_won.Weight)),Athelete,"The average of the sum of the ""Weight"" of all instances of ""medals_won"" for each ""Country Olympic ID"" in ""countries_at_olympic_games"" of all instances of ""countries_at_olympic_games"" for each ""Code"" in ""countries"".",0.03415237856
check,8,auto,"PERCENTILE(TREND(medals_won.Height, Year))",Athelete,"The percentile rank of the linear trend of the ""Height"" over time of all instances of ""medals_won"" for each ""Code"" in ""countries"".",0.030016042799999997
check,9,auto,MIN(countries_at_olympic_games.SKEW(medals_won.Age)),Athelete,"The minimum of the skewness of the ""Age"" of all instances of ""medals_won"" for each ""Country Olympic ID"" in ""countries_at_olympic_games"" of all instances of ""countries_at_olympic_games"" for each ""Code"" in ""countries"".",0.009268578884000001
check,10,auto,PERCENTILE(MAX(medals_won.Age)),Athelete,"The percentile rank of the maximum of the ""Age"" of all instances of ""medals_won"" for each ""Code"" in ""countries"".",0.009123853291
check,11,auto,MAX(countries_at_olympic_games.MEAN(medals_won.Weight)),Athelete,"The maximum of the average of the ""Weight"" of all instances of ""medals_won"" for each ""Country Olympic ID"" in ""countries_at_olympic_games"" of all instances of ""countries_at_olympic_games"" for each ""Code"" in ""countries"".",0.007966439018
check,12,auto,SKEW(countries_at_olympic_games.SUM(medals_won.Weight)),Athelete,"The skewness of the sum of the ""Weight"" of all instances of ""medals_won"" for each ""Country Olympic ID"" in ""countries_at_olympic_games"" of all instances of ""countries_at_olympic_games"" for each ""Code"" in ""countries"".",0.006955690934
check,13,auto,"TREND(medals_won.Height, Year)",Athelete,"The linear trend of the ""Height"" over time of all instances of ""medals_won"" for each ""Code"" in ""countries"".",0.006830748907
check,14,auto,MEAN(countries_at_olympic_games.SKEW(medals_won.Age)),Athelete,"The average of the skewness of the ""Age"" of all instances of ""medals_won"" for each ""Country Olympic ID"" in ""countries_at_olympic_games"" of all instances of ""countries_at_olympic_games"" for each ""Code"" in ""countries"".",0.006289980651
check,15,auto,PERCENTILE(NUM_UNIQUE(medals_won.Medal)),Medal,"The percentile rank of the number of unique elements in the ""Medal"" of all instances of ""medals_won"" for each ""Code"" in ""countries"".",0.006218950666
