<Country = United Kingdom> 	 Country 	 auto
<Country = United States> 	 Country 	 auto
<Country = France> 	 Country 	 auto
<Country = Denmark> 	 Country 	 auto
<Country = Sweden> 	 Country 	 auto
<Country = Italy> 	 Country 	 auto
<Country = Hungary> 	 Country 	 auto
<Country = Canada> 	 Country 	 auto
<Country = Switzerland> 	 Country 	 auto
<Country = Netherlands> 	 Country 	 auto
<gdpNominalPerCapita> 	 GDP 	 auto
<gdpNominalPerCapitaRank> 	 GDP 	 auto
<gdpPpp> 	 GDP 	 auto
<gdpPppPerCapita> 	 GDP 	 auto
<gdpPppPerCapitaRank> 	 GDP 	 auto
<gdpPppYear> 	 GDP 	 auto
<percentageOfAreaWater> 	 Other 	 auto
<populationCensus> 	 Population 	 auto
<populationDensity> 	 Population 	 auto
<populationDensityKm> 	 Population 	 auto
<populationDensityRank> 	 Population 	 auto
<populationDensitySqMi> 	 Population 	 auto
<populationEstimate> 	 Population 	 auto
<populationEstimateRank> 	 Population 	 auto
<populationTotal> 	 Population 	 auto
<populationTotalRanking> 	 Population 	 auto
<MODE(countryOlympic.OlympicID) = 0.0> 	 Olympic 	 auto
<MODE(countryOlympic.OlympicID) = 1.0> 	 Olympic 	 auto
<MODE(countryOlympic.OlympicID) = 5.0> 	 Olympic 	 auto
<MODE(countryOlympic.OlympicID) = 10.0> 	 Olympic 	 auto
<MODE(countryOlympic.OlympicID) = 22.0> 	 Olympic 	 auto
<MODE(countryOlympic.OlympicID) = 6.0> 	 Olympic 	 auto
<MODE(countryOlympic.OlympicID) = 3.0> 	 Olympic 	 auto
<MODE(countryOlympic.OlympicID) = 7.0> 	 Olympic 	 auto
<MODE(countryOlympic.OlympicID) = 13.0> 	 Olympic 	 auto
<MODE(countryOlympic.OlympicID) = 11.0> 	 Olympic 	 auto
<MODE(countryOlympic.Olympic) = Amsterdam 1928-06-30> 	 Olympic 	 auto
<MODE(countryOlympic.Olympic) = Athens 2004-06-30> 	 Olympic 	 auto
<MODE(countryOlympic.Olympic) = Atlanta 1996-06-30> 	 Olympic 	 auto
<MODE(countryOlympic.Olympic) = Antwerp 1920-06-30> 	 Olympic 	 auto
<MODE(countryOlympic.Olympic) = Helsinki 1952-06-30> 	 Olympic 	 auto
<MODE(countryOlympic.Olympic) = Athens 1896-06-30> 	 Olympic 	 auto
<MODE(countryOlympic.Olympic) = Barcelona 1992-06-30> 	 Olympic 	 auto
<MODE(countryOlympic.Olympic) = Berlin 1936-06-30> 	 Olympic 	 auto
<MODE(countryOlympic.Olympic) = London 1948-06-30> 	 Olympic 	 auto
<MODE(countryOlympic.Olympic) = London 1908-06-30> 	 Olympic 	 auto
<COUNT(medals_won)> 	 Medal 	 auto
<MODE(medals_won.Event) = 1500M> 	 Event 	 auto
<MODE(medals_won.Event) = 10000M> 	 Event 	 auto
<MODE(medals_won.Event) = Hockey> 	 Event 	 auto
<MODE(medals_won.Event) = épée Individual> 	 Event 	 auto
<MODE(medals_won.Event) = 1500M Freestyle> 	 Event 	 auto
<MODE(medals_won.Event) = 51 - 54KG (Bantamweight)> 	 Event 	 auto
<MODE(medals_won.Event) = 110M Hurdles> 	 Event 	 auto
<MODE(medals_won.Event) = + 79.38KG (Heavyweight)> 	 Event 	 auto
<MODE(medals_won.Event) = Sabre Individual> 	 Event 	 auto
<MODE(medals_won.Event) = Individual Competition> 	 Event 	 auto
<MODE(medals_won.Medal) = Bronze> 	 Medal 	 human&auto
<MODE(medals_won.Medal) = Silver> 	 Medal 	 human&auto
<MODE(medals_won.Medal) = Gold> 	 Medal 	 human&auto
<ABSOLUTE(COUNT(medals_won))> 	 Medal 	 human&auto
<ABSOLUTE(ethnicGroupsYear)> 	 Other 	 auto
<ABSOLUTE(gdpNominalPerCapita)> 	 GDP 	 auto
<ABSOLUTE(gdpNominalPerCapitaRank)> 	 GDP 	 auto
<ABSOLUTE(gdpPpp)> 	 GDP 	 auto
<ABSOLUTE(gdpPppPerCapita)> 	 GDP 	 auto
<ABSOLUTE(gdpPppPerCapitaRank)> 	 GDP 	 auto
<ABSOLUTE(gdpPppYear)> 	 GDP 	 auto
<ABSOLUTE(percentageOfAreaWater)> 	 Other 	 auto
<ABSOLUTE(populationCensus)> 	 Population 	 auto
<ABSOLUTE(populationDensity)> 	 Population 	 auto
<ABSOLUTE(populationDensityKm)> 	 Population 	 auto
<ABSOLUTE(populationDensityRank)> 	 Population 	 auto
<ABSOLUTE(populationDensitySqMi)> 	 Population 	 auto
<ABSOLUTE(populationEstimate)> 	 Population 	 auto
<ABSOLUTE(populationEstimateRank)> 	 Population 	 auto
<ABSOLUTE(populationTotal)> 	 Population 	 auto
<ABSOLUTE(populationTotalRanking)> 	 Population 	 auto
<PERCENTILE(gdpNominalPerCapita)> 	 GDP 	 auto
<PERCENTILE(gdpNominalPerCapitaRank)> 	 GDP 	 auto
<PERCENTILE(gdpPpp)> 	 GDP 	 auto
<PERCENTILE(gdpPppPerCapita)> 	 GDP 	 auto
<PERCENTILE(gdpPppPerCapitaRank)> 	 GDP 	 auto
<PERCENTILE(gdpPppYear)> 	 GDP 	 auto
<PERCENTILE(percentageOfAreaWater)> 	 Other 	 auto
<PERCENTILE(populationCensus)> 	 Population 	 auto
<PERCENTILE(populationDensity)> 	 Population 	 auto
